Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGHM5;qValue;fold;log2(fold)
;75876;74917;;-;-;SCO0088;beta-lactamase;13;6;1;2,166666667;1,115477217
;910926;909469;;-;-;SCO0863;hypothetical protein;13;6;1;2,166666667;1,115477217
;1183673;1184611;;+;-;SCO1127;oxidoreductase;13;6;1;2,166666667;1,115477217
;1809406;1810620;;+;-;SCO1690;acyl-CoA dehydrogenase;13;6;1;2,166666667;1,115477217
;2474986;2475702;;+;-;SCO2306;ABC transporter;13;6;1;2,166666667;1,115477217
;2908366;2911707;;+;-;SCO2672;hypothetical protein;13;6;1;2,166666667;1,115477217
;4985483;4988014;;+;-;SCO4568;NADH dehydrogenase subunit G;13;6;1;2,166666667;1,115477217
;5325853;5325467;;-;-;SCO4891;hypothetical protein;13;6;1;2,166666667;1,115477217
;8643812;8643240;;-;-;SCO7824;TetR family transcriptional regulator;13;6;1;2,166666667;1,115477217
;131001;130201;;-;-;SCO0137;sugar-transport protein;14;6;1;2,333333333;1,222392421
;6408122;6408970;;+;-;SCO5852;tagatose-bisphosphate aldolase;15;6;1;2,5;1,321928095
;553277;553861;;+;-;SCO0520;tetR family transcriptional regulator;16;6;1;2,666666667;1,415037499
;462854;463711;;+;-;SCO0443;hypothetical protein;18;6;1;3;1,584962501
;4500126;4500524;4500524;+;-;SCO4101;hypothetical protein;21;6;1;3,5;1,807354922
;461083;460364;;-;-;SCO0440;hypothetical protein;23;6;1;3,833333333;1,938599455
;6474436;6474317;;-;-;SCO5907;hypothetical protein;1;7;1;0,142857143;-2,807354922
;1100965;1101198;;+;-;SCO1045;metal associated protein;1;7;1;0,142857143;-2,807354922
;7095676;7096188;;+;-;SCO6426;hypothetical protein;1;7;1;0,142857143;-2,807354922
;7385660;7386058;;+;-;SCO6650;hypothetical protein;2;7;1;0,285714286;-1,807354922
;8249322;8248054;;-;-;SCO7435;transmembrane transport protein;3;7;1;0,428571429;-1,222392421
;8373907;8373704;;-;-;SCO7551;hypothetical protein;3;7;1;0,428571429;-1,222392421
;840334;840026;;-;-;SCO0793;hypothetical protein;4;7;1;0,571428571;-0,807354922
;942878;942453;;-;-;SCO0896;oxidoreductase;4;7;1;0,571428571;-0,807354922
;1097206;1096556;;-;-;SCO1040;DNA repair protein;4;7;1;0,571428571;-0,807354922
;2724049;2724603;;+;-;SCO2526;acetyltransferase;4;7;1;0,571428571;-0,807354922
4062164;;;4062237;+;-;SCOt30;Gly tRNA;4;7;1;0,571428571;-0,807354922
;5489422;5488832;;-;-;SCO5049;hypothetical protein;4;7;1;0,571428571;-0,807354922
;5677676;5678932;;+;-;SCO5219;lipoprotein;4;7;1;0,571428571;-0,807354922
;6117794;6118300;;+;-;SCO5619;hypothetical protein;4;7;1;0,571428571;-0,807354922
;6666219;6668399;;+;-;SCO6073;cyclase;4;7;1;0,571428571;-0,807354922
;6945280;6945543;;+;-;SCO6285;hypothetical protein;4;7;1;0,571428571;-0,807354922
;8298751;8297867;;-;-;SCO7487;integral membrane binding protein dependent transport protein;4;7;1;0,571428571;-0,807354922
;8643124;8642714;;-;-;SCO7823;hypothetical protein;4;7;1;0,571428571;-0,807354922
;2010038;2010712;;+;-;SCO1877;hypothetical protein;5;7;1;0,714285714;-0,485426827
;2718136;2717003;;-;-;SCO2520;hypothetical protein;5;7;1;0,714285714;-0,485426827
;4354878;4353121;;-;-;SCO3954;short chain dehydrogenase;5;7;1;0,714285714;-0,485426827
;5375783;5375466;;-;-;SCO4941;hypothetical protein;5;7;1;0,714285714;-0,485426827
;6169818;6170618;;+;-;SCO5670;polyamine ABC-transporter integral memb rane protein;5;7;1;0,714285714;-0,485426827
;7454358;7453156;;-;-;SCO6701;beta-ketoadipyl-CoA thiolase;5;7;1;0,714285714;-0,485426827
;8323140;8322307;;-;-;SCO7508;hypothetical protein;5;7;1;0,714285714;-0,485426827
;444243;443293;;-;-;SCO0425;hypothetical protein;6;7;1;0,857142857;-0,222392421
;893006;892665;;-;-;SCO0844;DNA-binding protein;6;7;1;0,857142857;-0,222392421
;1154808;1155686;;+;-;SCO1097;hydrolase;6;7;1;0,857142857;-0,222392421
;1933166;1933900;;+;-;SCO1805;hypothetical protein;6;7;1;0,857142857;-0,222392421
;4153150;4154442;;+;-;SCO3778;threonyl tRNA synthetase;6;7;1;0,857142857;-0,222392421
;4438649;4437969;;-;-;SCO4045;hypothetical protein;6;7;1;0,857142857;-0,222392421
;6987242;6986787;;-;-;SCO6326;hypothetical protein;6;7;1;0,857142857;-0,222392421
;7094609;7093614;;-;-;SCO6424;two-component system sensor protein;6;7;1;0,857142857;-0,222392421
;7407651;7405534;;-;-;SCO6666;hypothetical protein;6;7;1;0,857142857;-0,222392421
;7586410;7587975;;+;-;SCO6822;integral membrane efflux protein;6;7;1;0,857142857;-0,222392421
;7745727;7744831;;-;-;SCO6977;hypothetical protein;6;7;1;0,857142857;-0,222392421
;7841403;7840162;;-;-;SCO7050;D-alanyl-D-alanine carboxypeptidase;6;7;1;0,857142857;-0,222392421
;8057268;8057888;;+;-;SCO7248;hypothetical protein;6;7;1;0,857142857;-0,222392421
;8100432;8099128;;-;-;SCO7294;hypothetical protein;6;7;1;0,857142857;-0,222392421
;8427230;8426016;;-;-;SCO7600;alanyl tRNA synthetase;6;7;1;0,857142857;-0,222392421
;8433208;8431787;;-;-;SCO7605;metallopeptidase;6;7;1;0,857142857;-0,222392421
;874543;875343;;+;-;SCO0826;hypothetical protein;7;7;1;1;0
;888050;885933;;-;-;SCO0839;transmembrane transport protein;7;7;1;1;0
;986237;985374;;-;-;SCO0939;hydrolase;7;7;1;1;0
;1839862;1840860;;+;-;SCO1719;ABC transporter ATP-binding protein;7;7;1;1;0
;3729902;3732487;;+;-;SCO3370;large ATP-binding protein;7;7;1;1;0
;6107817;6108128;;+;-;SCO5605;hypothetical protein;7;7;1;1;0
;6470874;6470494;;-;-;SCO5904;hypothetical protein;7;7;1;1;0
;7189075;7190964;;+;-;SCO6496;dehydrogenase;7;7;1;1;0
;7300451;7299120;;-;-;SCO6588;hypothetical protein;7;7;1;1;0
;7743884;7742010;;-;-;SCO6975;acetolactate synthase;7;7;1;1;0
;7934492;7935322;;+;-;SCO7140;DNA-binding protein;7;7;1;1;0
;8185685;8185152;;-;-;SCO7372;hypothetical protein;7;7;1;1;0
;8359215;8360183;;+;-;SCO7538;LysR family transcriptional regulator;7;7;1;1;0
;145366;144704;;-;-;SCO0154;hypothetical protein;8;7;1;1,142857143;0,192645078
;299213;302092;;+;-;SCO0305;hypothetical protein;8;7;1;1,142857143;0,192645078
;579257;580789;;+;-;SCO0544;hypothetical protein;8;7;1;1,142857143;0,192645078
;704114;706393;;+;-;SCO0666;catalase;8;7;1;1,142857143;0,192645078
;1093492;1094400;;+;-;SCO1036;phosphotriesterase-family protein;8;7;1;1,142857143;0,192645078
;1316138;1315011;;-;-;SCO1243;8-amino-7-oxononanoate synthase;8;7;1;1,142857143;0,192645078
;1713855;1715099;;+;-;SCO1603;transposase;8;7;1;1,142857143;0,192645078
;3136695;3137048;;+;-;SCO2881;hypothetical protein;8;7;1;1,142857143;0,192645078
;4078692;4077583;;-;-;SCO3698;heavy metal resistance membrane protein;8;7;1;1,142857143;0,192645078
;5374758;5373976;;-;-;SCO4939;hypothetical protein;8;7;1;1,142857143;0,192645078
;6696805;6695702;;-;-;SCO6096;lipoprotein;8;7;1;1,142857143;0,192645078
;7066309;7067553;;+;-;SCO6400;IS117 transposase;8;7;1;1,142857143;0,192645078
;7166360;7164555;;-;-;SCO6475;oxidoreductase;8;7;1;1,142857143;0,192645078
;7688201;7687305;;-;-;SCO6924;DNA-binding protein;8;7;1;1,142857143;0,192645078
;7842710;7841463;;-;rho;SCO7051;transcription termination factor Rho;8;7;1;1,142857143;0,192645078
;8122631;8123065;;+;-;SCO7317;hypothetical protein;8;7;1;1,142857143;0,192645078
;1549133;1547982;;-;-;SCO1451;endoglucanase;9;7;1;1,285714286;0,362570079
;2042451;2040979;;-;-;SCO1906;hypothetical protein;9;7;1;1,285714286;0,362570079
;2947370;2947104;;-;-;SCO2705;hypothetical protein;9;7;1;1,285714286;0,362570079
;3264435;3266675;;+;-;SCO2997;transferase;9;7;1;1,285714286;0,362570079
;3328209;3326959;;-;-;SCO3040;hypothetical protein;9;7;1;1,285714286;0,362570079
;4902880;4903482;;+;-;SCO4483;hypothetical protein;9;7;1;1,285714286;0,362570079
;6951534;6952430;;+;-;SCO6292;dihydropicolinate synthase;9;7;1;1,285714286;0,362570079
;7813802;7812783;;-;-;SCO7027;LacI family transcriptional regulator;9;7;1;1,285714286;0,362570079
;7872834;7872977;;+;-;SCO7084;hypothetical protein;9;7;1;1,285714286;0,362570079
;8041721;8043442;;+;-;SCO7234;cytochrome C oxidase polypeptide I;9;7;1;1,285714286;0,362570079
;8380679;8382118;;+;-;SCO7558;beta-glucosidase;9;7;1;1,285714286;0,362570079
;15595;15317;;-;-;SCO0014;hypothetical protein;10;7;1;1,428571429;0,514573173
;780812;780012;;-;-;SCO0737;oxidoreductase;10;7;1;1,428571429;0,514573173
;873517;874473;;+;-;SCO0825;transmembrane transport protein;10;7;1;1,428571429;0,514573173
;1640408;1639131;;-;-;SCO1532;hypothetical protein;10;7;1;1,428571429;0,514573173
;1861979;1860897;;-;-;SCO1741;serine protease;10;7;1;1,428571429;0,514573173
;2148401;2148997;;+;-;SCO2007;hypothetical protein;10;7;1;1,428571429;0,514573173
;4983268;4984140;;+;-;SCO4566;NADH dehydrogenase subunit E;10;7;1;1,428571429;0,514573173
;5407685;5410105;;+;-;SCO4972;dehydrogenase;10;7;1;1,428571429;0,514573173
;6483675;6484187;;+;-;SCO5916;hypothetical protein;10;7;1;1,428571429;0,514573173
;8488518;8489696;;+;-;SCO7662;chloramphenicol resistance protein;10;7;1;1,428571429;0,514573173
;8651913;8652191;;+;-;SCO7833;hypothetical protein;10;7;1;1,428571429;0,514573173
;797720;799942;;+;-;SCO0755;ABC transporter;11;7;1;1,571428571;0,652076697
;943567;942974;;-;-;SCO0897;hypothetical protein;11;7;1;1,571428571;0,652076697
;1069098;1068298;;-;-;SCO1012;oxidoreductase;11;7;1;1,571428571;0,652076697
;1827026;1825638;;-;-;SCO1706;aldehyde dehydrogenase;11;7;1;1,571428571;0,652076697
;3202197;3201247;;-;-;SCO2945;sugar transporter membrane protein;11;7;1;1,571428571;0,652076697
;6997380;6996448;;-;-;SCO6337;transposase;11;7;1;1,571428571;0,652076697
;7606241;7605261;;-;-;SCO6834;thioredoxin reductase;11;7;1;1,571428571;0,652076697
;7790082;7789123;;-;-;SCO7012;binding protein dependent transport protein;11;7;1;1,571428571;0,652076697
;7855137;7857152;;+;-;SCO7066;2,4-dienoyl-CoA reductase;11;7;1;1,571428571;0,652076697
;868598;869908;;+;-;SCO0819;transmembrane transport protein;12;7;1;1,714285714;0,777607579
;1451212;1449695;;-;-;SCO1373;hypothetical protein;12;7;1;1,714285714;0,777607579
;1640971;1640405;;-;-;SCO1533;hypothetical protein;12;7;1;1,714285714;0,777607579
;2497804;2498268;;+;-;SCO2326;hypothetical protein;12;7;1;1,714285714;0,777607579
;3644935;3644267;;-;-;SCO3295;oxidoreductase;12;7;1;1,714285714;0,777607579
;4110508;4111512;;+;-;SCO3739;epimerase;12;7;1;1,714285714;0,777607579
;4468766;4467951;;-;-;SCO4074;hypothetical protein;12;7;1;1,714285714;0,777607579
;7334332;7333403;;-;-;SCO6612;hydrolase;12;7;1;1,714285714;0,777607579
;8556355;8556939;;+;-;SCO7722;hypothetical protein;12;7;1;1,714285714;0,777607579
;707329;706448;;-;-;SCO0667;hypothetical protein;13;7;1;1,857142857;0,893084796
;796977;797723;;+;-;SCO0754;hypothetical protein;13;7;1;1,857142857;0,893084796
;1061552;1061415;;-;-;SCO1006;hypothetical protein;13;7;1;1,857142857;0,893084796
;1385292;1383886;;-;-;SCO1307;hypothetical protein;13;7;1;1,857142857;0,893084796
;2962014;2961619;;-;-;SCO2718;hypothetical protein;13;7;1;1,857142857;0,893084796
;4452748;4453257;;+;-;SCO4062;transposase;13;7;1;1,857142857;0,893084796
;6444218;6443973;;-;-;SCO5887;acyl carrier protein;13;7;1;1,857142857;0,893084796
;8471548;8471823;;+;-;SCO7643;hypothetical protein;13;7;1;1,857142857;0,893084796
;8617276;8616047;;-;-;SCO7791a;oxidoreductase;13;7;1;1,857142857;0,893084796
;139467;139712;;+;-;SCO0148;transcriptional regulator;14;7;1;2;1
;883760;883113;;-;-;SCO0835;methyltransferase;14;7;1;2;1
;2297470;2296454;;-;-;SCO2135;hypothetical protein;14;7;1;2;1
;2989145;2988198;;-;-;SCO2742;sigma factor;14;7;1;2;1
;3128439;3127894;;-;-;SCO2873;hypothetical protein;14;7;1;2;1
;5435480;5434218;;-;-;SCO4995;hypothetical protein;14;7;1;2;1
;6116205;6116621;;+;-;SCO5617;hypothetical protein;14;7;1;2;1
;6565028;6564792;;-;-;SCO5990;hypothetical protein;14;7;1;2;1
;544194;545717;;+;glpK;SCO0509;glycerol kinase;15;7;1;2,142857143;1,099535674
;6727275;6726883;;-;-;SCO6123;quinone binding protein;15;7;1;2,142857143;1,099535674
;7805118;7806638;;+;-;SCO7020;alpha-amylase;15;7;1;2,142857143;1,099535674
;94872;94306;;-;-;SCO0116;TetR family transcriptional regulator;16;7;1;2,285714286;1,192645078
;981558;980917;;-;-;SCO0934;hypothetical protein;16;7;1;2,285714286;1,192645078
;6407079;6408017;;+;-;SCO5851;hypothetical protein;16;7;1;2,285714286;1,192645078
;3646035;3644932;;-;-;SCO3296;oxidoreductase;17;7;1;2,428571429;1,280107919
;4035809;4035252;;-;-;SCO3656;hypothetical protein;17;7;1;2,428571429;1,280107919
;4771139;4770450;;-;-;SCO4356;hypothetical protein;17;7;1;2,428571429;1,280107919
;1002624;1003673;;+;-;SCO0953;LacI family transcriptional regulator;18;7;1;2,571428571;1,362570079
;3809106;3808429;;-;-;SCO3446;dehalogenase;18;7;1;2,571428571;1,362570079
;3121892;3121344;;-;-;SCO2864;hypothetical protein;19;7;1;2,714285714;1,440572591
;1019903;1018944;;-;-;SCO0966;dehydratase;20;7;1;2,857142857;1,514573173
;3834702;3834055;;-;-;SCO3473;aldolase;21;7;1;3;1,584962501
;677227;678861;;+;-;SCO0636;ABC transporter ATP-binding protein;22;7;1;3,142857143;1,652076697
4164327;4164327;4164737;;+;-;SCO3788;hypothetical protein;25;7;1;3,571428571;1,836501268
;553140;552403;;-;-;SCO0519;oxidoreductase;1;8;1;0,125;-3
;6765049;6762662;;-;-;SCO6160;bifunctional preprotein translocase subunit SecD/SecF;2;8;1;0,25;-2
;7504216;7504851;;+;-;SCO6747;hypothetical protein;3;8;1;0,375;-1,415037499
;180087;178519;;-;-;SCO0189;dehydrogenase;4;8;1;0,5;-1
;1138101;1137148;;-;-;SCO1077;sugar kinase;4;8;1;0,5;-1
;3052589;3053602;;+;-;SCO2796;cellobiose transport permease;4;8;1;0,5;-1
;8088277;8087624;;-;-;SCO7281;ATP-dependent Clp protease proteolytic subunit;4;8;1;0,5;-1
;3183683;3184555;;+;-;SCO2932;permease membrane protein;5;8;1;0,625;-0,678071905
;3995973;3996191;;+;-;SCO3616;hypothetical protein;5;8;1;0,625;-0,678071905
;6768481;6769299;;+;-;SCO6166;hypothetical protein;5;8;1;0,625;-0,678071905
;6966485;6965355;;-;-;SCO6306;hypothetical protein;5;8;1;0,625;-0,678071905
;7457668;7458858;;+;-;SCO6706;glutathione-dependent aldehyde dehydrogenase;5;8;1;0,625;-0,678071905
;8228871;8229902;;+;-;SCO7413;short chain dehydrogenase;5;8;1;0,625;-0,678071905
;1022813;1022079;;-;-;SCO0970;dehydrogenase/reductase;6;8;1;0,75;-0,415037499
;1702388;1701846;;-;-;SCO1592;hypothetical protein;6;8;1;0,75;-0,415037499
;1825614;1824517;;-;-;SCO1705;alcohol dehydrogenase;6;8;1;0,75;-0,415037499
;2187163;2186336;;-;-;SCO2035;hypothetical protein;6;8;1;0,75;-0,415037499
;2288911;2287637;;-;-;SCO2128;hypothetical protein;6;8;1;0,75;-0,415037499
;2629333;2625671;;-;-;SCO2446;peptidase;6;8;1;0,75;-0,415037499
;3175140;3175568;;+;-;SCO2924;regulator;6;8;1;0,75;-0,415037499
;3890792;3890457;;-;-;SCO3522;transcriptional regulator;6;8;1;0,75;-0,415037499
;6629631;6628480;;-;-;SCO6038;hypothetical protein;6;8;1;0,75;-0,415037499
;6693968;6693222;;-;-;SCO6093;hypothetical protein;6;8;1;0,75;-0,415037499
;7731587;7730937;;-;-;SCO6964;hypothetical protein;6;8;1;0,75;-0,415037499
;7734509;7736044;;+;-;SCO6968;long-chain-fatty-acid-CoA ligase;6;8;1;0,75;-0,415037499
;8584661;8585167;;+;-;SCO7751;regulatory protein;6;8;1;0,75;-0,415037499
;140368;140862;;+;-;SCO0150;hypothetical protein;7;8;1;0,875;-0,192645078
;1092908;1093495;;+;-;SCO1035;hypothetical protein;7;8;1;0,875;-0,192645078
;2266030;2266230;;+;-;SCO2108;hypothetical protein;7;8;1;0,875;-0,192645078
;2357793;2359196;;+;-;SCO2191;oxidoreductase;7;8;1;0,875;-0,192645078
;2621091;2622488;;+;-;SCO2443;hypothetical protein;7;8;1;0,875;-0,192645078
;2927738;2925258;;-;-;SCO2684;ATP-binding membrane protein;7;8;1;0,875;-0,192645078
;5292421;5293098;;+;-;SCO4864;ECF sigma factor;7;8;1;0,875;-0,192645078
;5781254;5782351;;+;-;SCO5309;hypothetical protein;7;8;1;0,875;-0,192645078
;5849063;5847867;;-;-;SCO5378;chitinase two-component sensor kinase;7;8;1;0,875;-0,192645078
;6952433;6953434;;+;-;SCO6293;hypothetical protein;7;8;1;0,875;-0,192645078
;7190961;7192808;;+;-;SCO6497;transketolase;7;8;1;0,875;-0,192645078
;7252420;7250906;;-;-;SCO6553;integral membrane efflux protein;7;8;1;0,875;-0,192645078
;7469875;7470120;;+;-;SCO6715;transcriptional regulator;7;8;1;0,875;-0,192645078
;7678455;7678745;;+;-;SCO6914;hypothetical protein;7;8;1;0,875;-0,192645078
;8230865;8232022;;+;-;SCO7415;racemase;7;8;1;0,875;-0,192645078
;8552420;8552007;;-;-;SCO7717;hypothetical protein;7;8;1;0,875;-0,192645078
;676130;677023;;+;-;SCO0635;hypothetical protein;8;8;1;1;0
;1074142;1075377;;+;-;SCO1019;hypothetical protein;8;8;1;1;0
;1931041;1931736;;+;-;SCO1803;oxidoreductase;8;8;1;1;0
;3693418;3693999;;+;-;SCO3336;hydrolase;8;8;1;1;0
;3818494;3817745;;-;-;SCO3458;hypothetical protein;8;8;1;1;0
;4550161;4551054;;+;-;SCO4135;lipoprotein;8;8;1;1;0
;5607238;5606015;;-;-;SCO5159;integral membrane transport protein;8;8;1;1;0
;5734882;5736744;;+;-;SCO5273;hypothetical protein;8;8;1;1;0
;5777874;5776630;;-;-;SCO5304;sensor-like histidine kinase;8;8;1;1;0
;6092050;6093996;;+;-;SCO5587;cell division protein FtsH-like protein;8;8;1;1;0
;6521302;6524043;;+;-;SCO5953;hypothetical protein;8;8;1;1;0
;6550399;6551406;;+;-;SCO5976;ornithine carbamoyltransferase;8;8;1;1;0
;7677996;7678349;;+;-;SCO6913;hypothetical protein;8;8;1;1;0
;7776130;7774616;;-;-;SCO7002;amino acid/metabolite permease;8;8;1;1;0
;8151064;8151579;;+;-;SCO7337;hypothetical protein;8;8;1;1;0
;8604333;8604653;;+;-;SCO7776;hypothetical protein;8;8;1;1;0
;1436223;1435312;;-;-;SCO1358;LysR family transcriptional regulator;9;8;1;1,125;0,169925001
;3819354;3818491;;-;-;SCO3459;hypothetical protein;9;8;1;1,125;0,169925001
;3867689;3865647;;-;-;SCO3500;hypothetical protein;9;8;1;1,125;0,169925001
;4432795;4431932;;-;-;SCO4035;RNA polymerase sigma factor;9;8;1;1,125;0,169925001
;4853044;4852634;;-;-;SCO4433;hypothetical protein;9;8;1;1,125;0,169925001
;5730129;5731151;;+;-;SCO5270;hypothetical protein;9;8;1;1,125;0,169925001
;6726363;6726809;;+;-;SCO6122;hypothetical protein;9;8;1;1,125;0,169925001
;7312216;7310408;;-;-;SCO6594;hypothetical protein;9;8;1;1,125;0,169925001
;8393167;8394294;;+;-;SCO7570;isomerase;9;8;1;1,125;0,169925001
;8621520;8621900;;+;-;SCO7801;hypothetical protein;9;8;1;1,125;0,169925001
;933568;932864;;-;-;SCO0887;TetR family transcriptional regulator;10;8;1;1,25;0,321928095
;1698298;1696856;;-;-;SCO1587;transcriptional regulator;10;8;1;1,25;0,321928095
;2380490;2381995;;+;-;SCO2217;hypothetical protein;10;8;1;1,25;0,321928095
;2870658;2870032;;-;-;SCO2639;RNA polymerase sigma factor;10;8;1;1,25;0,321928095
;4065489;4066526;;+;-;SCO3682;delta fatty acid desaturase;10;8;1;1,25;0,321928095
;4505576;4506940;;+;-;SCO4107;hypothetical protein;10;8;1;1,25;0,321928095
;5300632;5299181;;-;-;SCO4870;hypothetical protein;10;8;1;1,25;0,321928095
;5711116;5712276;;+;-;SCO5250;polyprenyl synthetase;10;8;1;1,25;0,321928095
;6462296;6463483;;+;-;SCO5897;oxidase;10;8;1;1,25;0,321928095
;6968600;6969571;;+;-;SCO6309;LysR family transcriptional regulator;10;8;1;1,25;0,321928095
;7922097;7922885;;+;-;SCO7130;hypothetical protein;10;8;1;1,25;0,321928095
;8064979;8063663;;-;-;SCO7253;hypothetical protein;10;8;1;1,25;0,321928095
;8583106;8584200;;+;-;SCO7749;hypothetical protein;10;8;1;1,25;0,321928095
;958016;958987;;+;-;SCO0913;hypothetical protein;11;8;1;1,375;0,459431619
;1563520;1562315;;-;-;SCO1465;hypothetical protein;11;8;1;1,375;0,459431619
;3053615;3054526;;+;-;SCO2797;cellobiose transport permease;11;8;1;1,375;0,459431619
;3062230;3063669;;+;-;SCO2805;hypothetical protein;11;8;1;1,375;0,459431619
;3644163;3642817;;-;-;SCO3294;transferase;11;8;1;1,375;0,459431619
;6640448;6641122;;+;-;SCO6048;hypothetical protein;11;8;1;1,375;0,459431619
;7758473;7757496;;-;-;SCO6990;membrane transport protein;11;8;1;1,375;0,459431619
;269783;270397;;+;-;SCO0278;MutT domain-containing protein;12;8;1;1,5;0,584962501
;935237;934332;;-;-;SCO0889;LysR family transcriptional regulator;12;8;1;1,5;0,584962501
;1334711;1333824;;-;-;SCO1263;ECF-sigma factor;12;8;1;1,5;0,584962501
4243757;;;4243682;-;-;SCOt32;Ala tRNA;12;8;1;1,5;0,584962501
;5395822;5395316;;-;-;SCO4960;sigma factor;12;8;1;1,5;0,584962501
;8019021;8017954;;-;-;SCO7214;hypothetical protein;12;8;1;1,5;0,584962501
;8225904;8226962;;+;-;SCO7411;LacI family transcriptional regulator;12;8;1;1,5;0,584962501
;777828;776554;;-;-;SCO0734;transcriptional repressor;13;8;1;1,625;0,700439718
;2063709;2062930;;-;-;SCO1931;hypothetical protein;13;8;1;1,625;0,700439718
;2377262;2378362;;+;-;SCO2214;reductase;13;8;1;1,625;0,700439718
;2398873;2397869;;-;-;SCO2230;maltose permease;13;8;1;1,625;0,700439718
;3184552;3185520;;+;-;SCO2933;permease binding-protein component;13;8;1;1,625;0,700439718
;4984137;4985486;;+;-;SCO4567;NADH dehydrogenase subunit NuoF;13;8;1;1,625;0,700439718
;6118370;6120760;;+;-;SCO5620;recombinase;13;8;1;1,625;0,700439718
;7038399;7037737;;-;-;SCO6375;hypothetical protein;13;8;1;1,625;0,700439718
;7770083;7768860;;-;-;SCO6998;cytochrome P450;13;8;1;1,625;0,700439718
;229995;230669;;+;-;SCO0241;transcriptional regulator;14;8;1;1,75;0,807354922
;1406138;1408480;;+;-;SCO1331;multidomain-containing protein family;14;8;1;1,75;0,807354922
;2394296;2388900;;-;-;SCO2226;bifunctional alpha-amylase/dextrinase;14;8;1;1,75;0,807354922
;2501757;2502536;;+;-;SCO2332;hydrolase;14;8;1;1,75;0,807354922
;2857300;2858685;;+;-;SCO2631;amino acid permease;14;8;1;1,75;0,807354922
;3642811;3642308;;-;-;SCO3293;small integral membrane protein;14;8;1;1,75;0,807354922
;4079499;4079729;;+;-;SCO3701;hypothetical protein;14;8;1;1,75;0,807354922
;4421136;4422659;;+;-;SCO4024;integral membrane efflux protein;14;8;1;1,75;0,807354922
;4756150;4756464;;+;-;SCO4341;hypothetical protein;14;8;1;1,75;0,807354922
;5443213;5443824;;+;-;SCO5005;hypothetical protein;14;8;1;1,75;0,807354922
;8466399;8464939;;-;-;SCO7637;endoglucanase;14;8;1;1,75;0,807354922
;8629040;8629804;;+;-;SCO7810;oxidoreductase;14;8;1;1,75;0,807354922
;89073;89465;;+;-;SCO0106;insertion element transposase;15;8;1;1,875;0,906890596
;156120;155707;;-;-;SCO0165;hypothetical protein;15;8;1;1,875;0,906890596
;896543;896968;;+;-;SCO0850;hypothetical protein;15;8;1;1,875;0,906890596
;2576928;2578505;;+;-;SCO2405;sugar-transport ATP binding protein;15;8;1;1,875;0,906890596
;3584822;3585724;;+;-;SCO3234;phosphotransferase;15;8;1;1,875;0,906890596
;7750057;7750959;;+;-;SCO6982;hypothetical protein;15;8;1;1,875;0,906890596
;8164751;8165131;;+;-;SCO7352;hypothetical protein;15;8;1;1,875;0,906890596
;1555507;1554266;;-;-;SCO1457;transporter;16;8;1;2;1
;1557614;1556124;;-;-;SCO1459;amino acid transporter;16;8;1;2;1
;1805384;1806277;;+;-;SCO1685;hypothetical protein;16;8;1;2;1
;2036555;2036944;;+;-;SCO1902;hypothetical protein;16;8;1;2;1
;3144042;3142528;;-;-;SCO2889;sugar transport protein;16;8;1;2;1
;4011323;4012942;;+;-;SCO3634;ABC transporter membrane-spanning protein;16;8;1;2;1
;5410107;5410928;;+;-;SCO4973;hypothetical protein;16;8;1;2;1
;7250677;7248851;;-;-;SCO6552;long-chain-fatty-acid-CoA ligase;16;8;1;2;1
;725013;724639;;-;-;SCO0682;hypothetical protein;17;8;1;2,125;1,087462841
;5793601;5794470;;+;-;SCO5322;hypothetical protein;17;8;1;2,125;1,087462841
;8554142;8555248;;+;-;SCO7720;hypothetical protein;17;8;1;2,125;1,087462841
;6983887;6983231;;-;-;SCO6323;TetR family transcriptional regulator;18;8;1;2,25;1,169925001
;1087803;1088321;;+;-;SCO1030;hypothetical protein;19;8;1;2,375;1,247927513
;5727255;5727725;;+;-;SCO5268;hypothetical protein;19;8;1;2,375;1,247927513
;915270;914827;914827;-;-;SCO0868;regulatory protein;20;8;1;2,5;1,321928095
;1144822;1144442;;-;-;SCO1084;thioredoxin;20;8;1;2,5;1,321928095
;4401542;4400250;;-;-;SCO4007;hypothetical protein;21;8;1;2,625;1,392317423
2520564;2520564;2521025;;+;-;SCO2350;hypothetical protein;22;8;1;2,75;1,459431619
465990;465990;466436;;+;-;SCO0447;MarR family regulatory protein;23;8;1;2,875;1,523561956
;3622270;3621404;;-;-;SCO3277;phosphotransferase;25;8;1;3,125;1,64385619
;7844103;7843684;;-;-;SCO7053;hypothetical protein;25;8;1;3,125;1,64385619
;3110833;3110120;;-;-;SCO2851;hypothetical protein;1;9;1;0,111111111;-3,169925001
;7452357;7451752;;-;-;SCO6699;protocatechuate 3,4-dioxygenase subunit alpha;3;9;1;0,333333333;-1,584962501
;1132462;1132683;;+;-;SCO1072;hypothetical protein;4;9;1;0,444444444;-1,169925001
;4397855;4397691;;-;-;SCO4004;small membrane protein;4;9;1;0,444444444;-1,169925001
;5224098;5223103;;-;-;SCO4799;lipase;4;9;1;0,444444444;-1,169925001
;5539158;5539622;;+;-;SCO5098;hypothetical protein;4;9;1;0,444444444;-1,169925001
